Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Katana, Aisha Jumwa Karisa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f89028c31c66001585f476905f4afb25_M.jpg,Malindi,Malindi,ODM,Elected
"Hon. Katana, Paul Kahindi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2b5886a6af7ffe0890f131c7646b1472_M.jpg,Kilifi,Kaloleni,ODM,Elected
"Hon. Kaunya, Edward Oku",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/eb9bf436458080249c7633d607611800_M.jpg,Busia,Teso North,ANC,Elected
"Hon. Kega, Mathenge James Kanini",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c9bc241ebc9f52611d92694886ac1a8c_M.jpg,Nyeri,Kieni,N\/A,Elected
"Hon. Keter, Alfred Kiptoo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b68b3ccfe896ef105681f423d72ff5a9_M.jpg,Nandi,Nandi Hills,JP,Elected
"Hon. Keter, Gideon",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4a6db493688ce47d860ff52eda878d88_M.jpg,N\/A,Nominated,JP,Nominated
"Hon. Kiai, Anthony Githiaka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/48d890cd826326e9a53289fa7114cca6_M.jpg,Nyeri,Mukurweini,JP,Elected
"Hon. Kiaraho, David Njuguna",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/21932c06430f4fed99e3c8195fc591d6_M.jpg,Nyandarua,Ol Kalou,JP,Elected
"Hon. Kibeh, Annie Wanjiku",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b574a0ae91fb70e737fbed289783496a_M.jpg,Kiambu,Gatundu North,JP,Elected
"Hon. Kibiwot, Julius Melly",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4e402c8920f4be037902c4be9402ea8f_M.jpg,Nandi,Tinderet,JP,Elected
"Hon. Kibunguchy, Enoch Wamalwa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e65a3cb5bf8ddad3661b23ae64e6228c_M.jpg,Kakamega,Likuyani,FORD-K,Elected
"Hon. Kigano, Clement Muturi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ee9b37a543af30509248a26f2de04a60_M.jpg,Murang'a,Kangema,JP,Elected
"Hon. Kihara, Jayne Njeri Wanjiru",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a28f2bb5ffa79ee030e1076395c03c79_M.jpg,Nakuru,Naivasha,JP,Elected
"Hon. Kihara, Peter Kimari",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3e96d38302447f1cf99d475dfb5c308d_M.jpg,Murang'a,Mathioya,JP,Elected
"Hon. Kilonzo, Charles Mutavi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f7724547f17b9a1373fb429f1124f806_M.jpg,Machakos,Yatta,IND,Elected
"Hon. Kimani, Francis Kuria",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6408056b72e0df42b9dd4870cb84668b_M.jpg,Nakuru,Molo,JP,Elected
"Hon. Kimilu, Joshua Kivinda",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2ea7bf7f3b1670977aa6b5b00fc6b7f0_M.jpg,Makueni,Kaiti,WDM-K,Elected
"Hon. Kimunya, Amos Muhinga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cc88f2d6d7efb87c36fab36d95f2f33a_M.jpg,Nyandarua,Kipipiri,JP,Elected
"Hon. King'ola, Patrick Makau",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cdcfe1cb542202f1e6585f7193c3f6c5_M.jpg,Machakos,Mavoko,WDM-K,Elected
