lat,commodity,price,date,location,units,lon
-1.2920659,Beans,2650.00,2003-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2500.00,2003-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2760.00,2003-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2599.00,2003-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2723.00,2003-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2365.00,2004-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2456.00,2004-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2554.00,2004-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2797.00,2004-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2633.00,2004-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2733.00,2004-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2980.00,2004-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2974.00,2004-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3164.00,2004-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3480.00,2004-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3100.00,2004-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2900.00,2004-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3050.00,2005-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3000.00,2005-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3092.00,2005-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3100.00,2005-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3200.00,2005-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3232.00,2005-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3183.00,2005-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3000.00,2005-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2845.00,2005-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2979.00,2005-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2700.00,2005-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2780.00,2005-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3175.00,2006-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3485.00,2006-02-02,Nairobi,90 kg bag,36.8219462
